title,subtitle,author,narrator,series,length,release_date,language,ratings
The Book Spy,Not Found,By: Alan Hlad,Narrated by: Christa Lewis,Not Found,Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
The Silence of Unworthy Gods,"Arcane Ascension, Book 4",By: Andrew Rowe,Narrated by: Nick Podehl,"Series: Arcane Ascension, Book 4",Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
"FOUR x4 - Four Series, Books 5-8","FOUR Collection, Book 2",By: Stephanie Brother,Narrated by: Laurie West,"Series: Four, Book 5-8",Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
The Three-Body Problem,Not Found,"By: Cixin Liu, Ken Liu",Narrated by: Daniel York Loh,Not Found,Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
Silver Master,"Ghost Hunters, Book 4",By: Jayne Castle,Narrated by: Laural Merlington,"Series: Ghost Hunters, Book 4",Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
Mastering the Art of Command,Admiral Chester W. Nimitz and Victory in the Pacific,By: Trent Hone,Narrated by: Paul Heitsch,Not Found,Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
Promise Me Always,"Redemption Hills, Book 4",By: A.L. Jackson,"Narrated by: Connor Crais, Samantha Brentmoor","Series: Redemption Hills Series, Book 4",Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
Magitech Chronicles Omnibus,13 Volumes of Epic Space Fantasy,By: Chris Fox,Narrated by: Ryan Kennard Burke,"Series: The Magitech Chronicles, Book 1-13",Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
Sapphire Scars,"Uvarov Bratva, Book 1",By: Nicole Fox,"Narrated by: Timothy G. Little, Leanne Woodward","Series: Uvarov Bratva, Book 1",Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
The Eidolon,"The Magnus Academy, Book 1",By: K.D. Edwards,Narrated by: Josh Hurley,"Series: The Magnus Academy Series, Book 1",Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
Queens of the Age of Chivalry,Not Found,By: Alison Weir,Narrated by: Esther Wane,Series: England's Medieval Queens,Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
Modern Magick,Twelve Lessons in the High Magickal Arts,By: Donald Michael Kraig,Narrated by: Chris Sorensen,Not Found,Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
Spare,Not Found,By: Prince Harry The Duke of Sussex,Narrated by: Prince Harry The Duke of Sussex,Not Found,Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
Dragon,"The Halloween Boys, Book 2",By: Kat Blackthorne,Narrated by: Orcus Auditory,"Series: Halloween Boys, Book 2",Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
Never Split the Difference,Negotiating as if Your Life Depended on It,By: Chris Voss,Narrated by: Michael Kramer,Not Found,Length: 14 hrs,Release date: 02-28-23,Language: English,5 out of 5 stars
Magitech Chronicles Omnibus,13 Volumes of Epic Space Fantasy,By: Chris Fox,Narrated by: Ryan Kennard Burke,"Series: The Magitech Chronicles, Book 1-13",Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Sapphire Scars,"Uvarov Bratva, Book 1",By: Nicole Fox,"Narrated by: Timothy G. Little, Leanne Woodward","Series: Uvarov Bratva, Book 1",Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
The Eidolon,"The Magnus Academy, Book 1",By: K.D. Edwards,Narrated by: Josh Hurley,"Series: The Magnus Academy Series, Book 1",Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
The Agent's Edge,Secret Strategies to Win Listings and Make Your Fortune Selling Real Estate,By: Jordan Cohen,Narrated by: Jordan Cohen,Not Found,Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Tower of the Noobs,"Noobtown, Book 7",By: Ryan Rimmel,Narrated by: Johnathan McClain,"Series: Noobtown, Book 7",Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Modern Magick,Twelve Lessons in the High Magickal Arts,By: Donald Michael Kraig,Narrated by: Chris Sorensen,Not Found,Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Spare,Not Found,By: Prince Harry The Duke of Sussex,Narrated by: Prince Harry The Duke of Sussex,Not Found,Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Dragon,"The Halloween Boys, Book 2",By: Kat Blackthorne,Narrated by: Orcus Auditory,"Series: Halloween Boys, Book 2",Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Never Split the Difference,Negotiating as if Your Life Depended on It,By: Chris Voss,Narrated by: Michael Kramer,Not Found,Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Burner,"Gray Man, Book 12",By: Mark Greaney,Narrated by: Jay Snyder,"Series: Gray Man, Book 12",Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Lanegan,Not Found,By: Greg Prato,Narrated by: Greg Prato,Not Found,Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Snow Leopard,How Legendary Writers Create a Category of One,"By: Category Pirates, Nicolas Cole, Christopher Lochhead, Eddie Yoon",Narrated by: Jason DeFillippo,Not Found,Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
All My Knotted-Up Life,A Memoir,By: Beth Moore,Narrated by: Beth Moore,Not Found,Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
The Cloud Revolution,How the Convergence of New Technologies Will Unleash the Next Economic Boom and a Roaring 2020s,By: Mark P. Mills,Narrated by: Steve Menasche,Not Found,Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Never Lie,Not Found,By: Freida McFadden,Narrated by: Leslie Howard,Not Found,Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Ghost's Whisper,"Legion of Angels, Book 9",By: Ella Summers,Narrated by: Cris Dukehart,"Series: Legion of Angels, Book 9",Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Gray Tidings,"Black Hat Bureau, Book 6",By: Hailey Edwards,Narrated by: Stephanie Richardson,"Series: Black Hat Bureau, Book 6",Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Expanse,"Unbound, Book 6",By: Nicoli Gonnella,Narrated by: Travis Baldree,"Series: Unbound, Book 6",Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
I'm So Effing Hungry,Why We Crave What We Crave - and What to Do About It,By: Amy Shah,"Narrated by: Amy Shah, Rasika Mathur",Not Found,Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
The Alabaster Girl,Not Found,By: Zan Perrion,Narrated by: Zan Perrion,Not Found,Length: 108 hrs and 51 mins,Release date: 01-09-23,Language: English,4.5 out of 5 stars
Real-Time Leadership,Find Your Winning Moves When the Stakes Are High,"By: David Noble, Carol Kauffman",Narrated by: Rebecca Lam,Not Found,Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Fairy Cakes in Winter,Not Found,By: Lane Hayes,Narrated by: Michael Dean,Not Found,Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Happy Place,Not Found,By: Emily Henry,Narrated by: Julia Whelan,Not Found,Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
The Awe of God,The Astounding Way a Healthy Fear of God Transforms Your Life,By: John Bevere,Narrated by: John Bevere,Not Found,Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
BCBA Exam Study Prep Crash Course,Handbook of Applied Behavior Analysis to Master the 5th Edition Task List,By: Linda Cooper,Narrated by: Bern Aniceto,Not Found,Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Flawed,"Triple Canopy, Book 2",By: Riley Edwards,"Narrated by: Connor Crais, Mackenzie Cartwright","Series: Triple Canopy Series, Book 2",Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Jungle World,"Undying Mercenaries, Book 19",By: B.V. Larson,Narrated by: Mark Boyett,"Series: Undying Mercenaries, Book 19",Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Heart of Sherwood,Not Found,By: Edale Lane,Narrated by: Jennifer Lewis,Not Found,Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Murder in the Mews,"A Redmond and Haze Mystery, Book 10",By: Irina Shapiro,Narrated by: Wendy Wolfson,"Series: A Redmond and Haze Mystery, Book 10",Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Prometheus Rising,Not Found,By: Robert Anton Wilson,"Narrated by: Robert Anton Wilson, Oliver Senton",Not Found,Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Escaping Enemy Mode,How Our Brains Unite or Divide Us,"By: E. James Wilder, Ray Woolridge",Narrated by: Ray Woolridge,Not Found,Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Heartless,Not Found,By: Elsie Silver,"Narrated by: Stephen Dexter, Vanessa Edwin","Series: Chestnut Springs, Book 2",Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
The 6 Types of Working Genius,"A Better Way to Understand Your Gifts, Your Frustrations, and Your Team",By: Patrick M. Lencioni,Narrated by: Ray Porter,Not Found,Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
The Resurgence of Patriots,"A Post-Apocalyptic Survival Thriller Series (Sunset on America, Book 4)",By: Ryan Schow,Narrated by: Kevin Pierce,"Series: Sunset on America, Book 4",Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
When She Unravels,"The Fallen, Book 1",By: Gabrielle Sands,"Narrated by: Charlotte Claremont, Gabriel Spires","Series: Fallen, Book 1",Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Kildash,The Wizard and the Witch Queen,By: Lee Ellis,Narrated by: Tom Fairfoot,"Series: Kildash, Book 1",Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Black Candle Women,A Novel,By: Diane Marie Brown,Narrated by: Bahni Turpin,Not Found,Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Wake Up with Purpose!,What I’ve Learned in My First Hundred Years,"By: Sister Jean Dolores Schmidt, Seth Davis - contributor","Narrated by: Devon O'day, Sister Jean Delores Schmidt",Not Found,Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Pineapple Street,A Novel,By: Jenny Jackson,Narrated by: Marin Ireland,Not Found,Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
Leveling Up the World,A LitRPG Adventure,By: L. Eclaire,Narrated by: Jack Meloche,"Series: Leveling Up The World, Book 1",Length: 9 hrs and 49 mins,Release date: 02-21-23,Language: English,Not rated yet
King of the Shadow Fae,"The Darkest Fae, Book 1",By: Amelia Hutchins,Narrated by: Erika Annette,"Series: The Darkest Fae, Book 1",Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Dragon's Justice 6,Not Found,By: Bruce Sentar,"Narrated by: Jessica Threet, Jack Douglas","Series: Dragon's Justice, Book 6",Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
The Girl in the Mist,"Emma Griffin® FBI Mystery Retro - Limited Series, Book 1",By: A.J. Rivers,Narrated by: Claire Duncan,"Series: Emma Griffin Retro, Book 1",Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Three Widows,"Detective Lottie Parker, Book 12",By: Patricia Gibney,Narrated by: Michele Moran,"Series: Detective Lottie Parker, Book 12",Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
A Calder at Heart,"Calder Brand, Book 3",By: Janet Dailey,Narrated by: Graham Winton,"Series: Calder Brand Series, Book 3",Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
The Winter Soldier: Cold Front,Not Found,By: Mackenzi Lee,Narrated by: Christian Coulson,Not Found,Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Monsters and How to Tame Them,Not Found,By: Kevin Hart,Narrated by: Kevin Hart,Not Found,Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Lent,The Season of Repentance and Renewal,By: Esau McCaulley,Narrated by: Esau McCaulley,Not Found,Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Smolder,"Anita Blake, Vampire Hunter, Book 29",By: Laurell K. Hamilton,Narrated by: Kimberly Alexis,"Series: Anita Blake, Vampire Hunter, Book 29",Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Holly,Not Found,By: Stephen King,Not Found,Not Found,Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Pen Pal,Not Found,By: J.T. Geissinger,"Narrated by: Troy Duran, Tara Langella",Not Found,Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
"Come, Lord Jesus",Meditations on the Second Coming of Christ,By: John Piper,Narrated by: Bob Souer,Not Found,Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Fast Like a Girl,"A Woman’s Guide to Using the Healing Power of Fasting to Burn Fat, Boost Energy, and Balance Hormones",By: Dr. Mindy Pelz,Narrated by: Dr. Mindy Pelz,Not Found,Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
The Twisted Dead,"Gravekeeper, Book 3",By: Darcy Coates,Narrated by: Suzanne Elise Freeman,"Series: Gravekeeper, Book 3",Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Future Wife,Not Found,By: Nicole Pyland,Narrated by: Blair Baker,Not Found,Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Caliban and the Witch,"Women, the Body and Primitive Accumulation",By: Silvia Federici,Narrated by: J. Lee Craig,Not Found,Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Children of Memory,Not Found,By: Adrian Tchaikovsky,Narrated by: Mel Hudson,"Series: The Children of Time Novels, Book 3",Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Slightly South of Simple,"Peachtree Bluff, Book 1",By: Kristy Woodson Harvey,"Narrated by: Shannon McManus, Janet Metzger","Series: Peachtree Bluff, Book 1",Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Not Dead Yet,The Memoir,By: Phil Collins,Narrated by: Phil Collins,Not Found,Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
Lies of My Monster,"Monster Trilogy, Book 2",By: Rina Kent,"Narrated by: Sebastian York, Brooke Daniels","Series: Monster Trilogy, Book 2",Length: 8 hrs and 32 mins,Release date: 02-16-23,Language: English,5 out of 5 stars
The Twisted Dead,"Gravekeeper, Book 3",By: Darcy Coates,Narrated by: Suzanne Elise Freeman,"Series: Gravekeeper, Book 3",Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Future Wife,Not Found,By: Nicole Pyland,Narrated by: Blair Baker,Not Found,Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Caliban and the Witch,"Women, the Body and Primitive Accumulation",By: Silvia Federici,Narrated by: J. Lee Craig,Not Found,Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Children of Memory,Not Found,By: Adrian Tchaikovsky,Narrated by: Mel Hudson,"Series: The Children of Time Novels, Book 3",Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Slightly South of Simple,"Peachtree Bluff, Book 1",By: Kristy Woodson Harvey,"Narrated by: Shannon McManus, Janet Metzger","Series: Peachtree Bluff, Book 1",Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Not Dead Yet,The Memoir,By: Phil Collins,Narrated by: Phil Collins,Not Found,Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
The Song of Achilles,A Novel,By: Madeline Miller,Narrated by: Frazer Douglas,Not Found,Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
The Big Myth,How American Business Taught Us to Loathe Government and Love the Free Market,"By: Naomi Oreskes, Erik M. Conway",Narrated by: Liza Seneca,Not Found,Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Arcane Knight,An Epic LitRPG Fantasy,By: Timothy McGowen,"Narrated by: Ronnie Rowlands, Tiffany Suzuki","Series: Order & Chaos, Book 1",Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Glow,"The Plated Prisoner Series, Book 4",By: Raven Kennedy,"Narrated by: Zara Eden, Blake Lockheart","Series: The Plated Prisoner, Book 4",Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
The Art of Embodiment for Men,"Using the ANI Framework and Daily Practices to Tame Anxiety, Heal Trauma, and Conquer Your Nice Guy Tendencies",By: GS Youngblood,Narrated by: GS Youngblood,Not Found,Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
How to Be Love(d),"Simple Truths for Going Easier on Yourself, Embracing Imperfection & Loving Your Way to a Better Life",By: Humble the Poet,Narrated by: Humble the Poet,Not Found,Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Flawless,Not Found,By: Elsie Silver,"Narrated by: Sebastian York, Emma Wilder","Series: Chestnut Springs, Book 1",Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Drama King,"Three Kings, Book 2",By: Penny Reid,"Narrated by: Joy Nash, Ryan Lee Dunlap","Series: Three Kings, Book 2",Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Smoky Darling,"Darling Series, Book 1",By: S.J. Tilly,"Narrated by: Gomez Pugh, Callie Dalton","Series: Darling Series, Book 1",Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Tutankhamun and the Tomb That Changed the World,Not Found,By: Bob Brier PhD,Narrated by: Christopher Douyard,Not Found,Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Murder at an Irish Bakery,"Irish Village Mysteries, Book 9",By: Carlene O'Connor,Narrated by: Caroline Lennon,"Series: Irish Village Mysteries, Book 9",Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Dark Invasion,"The Travelers, Book 1",By: Nathan Hystad,Narrated by: Jonathan Davis,"Series: The Travelers Series, Book 1",Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
Earthside,"Quantum Earth, Book 2",By: Dennis E. Taylor,Narrated by: Ray Porter,"Series: Quantum Earth, Book 2",Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
The Water Is Wide,Not Found,By: Pat Conroy,Narrated by: Jeremy Arthur,Not Found,Length: 9 hrs and 34 mins,Release date: 02-23-23,Language: English,5 out of 5 stars
UFO of God,The Extraordinary True Story of Chris Bledsoe,By: Chris Bledsoe,Narrated by: Daniel Roueche,Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
Empath And Narcissist,Learn How to Help Others from Energy Vampires & Avoid Narcissistic Relationships. Become an Empowered Empath to Recognize a Manipulator & Deal with his False Mental Power,By: Lisa Kennedy,"Narrated by: Julie Faber, How to Analyze People Studio, Atomic Habits Studio, Covert Manipulation Studio, Hypnosis Studio","Series: Increase your Confidence & Stop Absorving Toxic Negative Energies: Dark Psychology, Overcome Anxiety, Emotional Storm & Social Skills",Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
Miss Newbury's List,Not Found,By: Megan Walker,Narrated by: Justine Eyre,Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
What's Our Problem?,A Self-Help Book for Societies,By: Tim Urban,Narrated by: Tim Urban,Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
Your Weight Is Not the Problem,Not Found,By: Lyndi Cohen,Narrated by: Lyndi Cohen,Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
He Who Fights with Monsters 9,"A LitRPG Adventure (He Who Fights with Monsters, Book 9)","By: Shirtaloon, Travis Deverell",Narrated by: Heath Miller,"Series: He Who Fights with Monsters, Book 9",Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
Young Forever,"The Secrets to Living Your Longest, Healthiest Life",By: Dr. Mark Hyman MD,Narrated by: Dr. Mark Hyman MD,Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
One True Loves,Not Found,By: Taylor Jenkins Reid,Narrated by: Julia Whelan,Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
The Secret,Not Found,By: Rhonda Byrne,Narrated by: Rhonda Byrne,Series: The Secret,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
Why We Sleep,Unlocking the Power of Sleep and Dreams,By: Matthew Walker,Narrated by: Steve West,Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
The Obesity Code,Unlocking the Secrets of Weight Loss,By: Dr. Jason Fung,Narrated by: Brian Nishii,Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
Wanderlust,"An Eccentric Explorer, an Epic Journey, a Lost Age",By: Reid Mitenbuler,Narrated by: Peter Noble,Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
Inevitable Disclosure,"Valor and Doyle, Book 4",By: Nicky James,Narrated by: Nick J. Russo,"Series: Valor and Doyle, Book 4",Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
The Seven Husbands of Evelyn Hugo,A Novel,By: Taylor Jenkins Reid,"Narrated by: Alma Cuervo, Julia Whelan, Robin Miles",Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
How to Win Friends & Influence People,Not Found,By: Dale Carnegie,Narrated by: Andrew MacMillan,Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
Sapiens,A Brief History of Humankind,By: Yuval Noah Harari,Narrated by: Derek Perkins,Series: Sapiens,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
The Song of Achilles,A Novel,By: Madeline Miller,Narrated by: Frazer Douglas,Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
"Boundaries, Updated and Expanded Edition","When to Say Yes, How to Say No to Take Control of Your Life","By: John Townsend, Henry Cloud",Narrated by: Henry O. Arnold,Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
The Case Against the Sexual Revolution,Not Found,By: Louise Perry,Narrated by: Louise Perry,Not Found,Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
House of Beating Wings,"The Kingdom of Crows, Book 1",By: Olivia Wildenstein,Narrated by: Olivia King,"Series: Kingdom of Crows, Book 1",Length: 7 hrs and 52 mins,Release date: 02-24-23,Language: English,4.5 out of 5 stars
Reality Is Not What It Seems,The Journey to Quantum Gravity,"By: Carlo Rovelli, Simon Carnell - translator, Erica Segre - translator",Narrated by: Roy McMillan,Not Found,Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
The Bear and the Nightingale,A Novel,By: Katherine Arden,Narrated by: Kathleen Gati,"Series: Winternight Trilogy, Book 1",Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
Last Argument of Kings,Not Found,By: Joe Abercrombie,Narrated by: Steven Pacey,"Series: The First Law Trilogy, Book 3",Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
Empire of Storms,Not Found,By: Sarah J. Maas,Narrated by: Elizabeth Evans,"Series: Throne of Glass, Book 5",Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
A Dance with Dragons,"A Song of Ice and Fire, Book 5",By: George R.R. Martin,Narrated by: Roy Dotrice,"Series: A Song of Ice and Fire, Book 5",Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
Let's Pretend This Never Happened,A Mostly True Memoir,By: Jenny Lawson,Narrated by: Jenny Lawson,Not Found,Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
Icebreaker,A Novel,By: Hannah Grace,"Narrated by: Elizabeth Louise, Tim Paige","Series: The Maple Hills Series, Book 1",Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
The Nightingale,Not Found,By: Kristin Hannah,Narrated by: Polly Stone,Not Found,Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
The Rise and Fall of the Third Reich,A History of Nazi Germany,By: William L. Shirer,Narrated by: Grover Gardner,Not Found,Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
It Didn't Start with You,How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,By: Mark Wolynn,Narrated by: Mark Wolynn,Not Found,Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
Building a StoryBrand,Clarify Your Message So Customers Will Listen,By: Donald Miller,Narrated by: Donald Miller,Not Found,Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
How Not to Hate Your Husband After Kids,Not Found,By: Jancee Dunn,Narrated by: Jancee Dunn,Not Found,Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
A New Earth,Awakening Your Life's Purpose,By: Eckhart Tolle,Narrated by: Eckhart Tolle,Not Found,Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
Flowers for the Devil,Not Found,By: Vlad Kahany,"Narrated by: Nicky Griffiths, Bastian Allen",Not Found,Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
The Ghost and the New Neighbor,"Haunting Danielle, Book 31","By: Bobbi Holmes, Anna J. McIntyre",Narrated by: Romy Nordlinger,"Series: Haunting Danielle, Book 31",Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
Dismount,"Off Balance, Book 5",By: Lucia Franco,Narrated by: Sarah Puckett,"Series: Off Balance, Book 5",Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
The Return of the Gods,Not Found,By: Jonathan Cahn,Narrated by: Lawrence Richardson,Not Found,Length: 6 hrs and 7 mins,Release date: 01-24-17,Language: English,4.5 out of 5 stars
